Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
199008,126085203,-13,1,57.5248,-33.7959,10.2252,45.4134,1.06999,2.84779,13,-1,118.359,21.7782,-14.2229,115.465,2.19604,-0.578538,13,-1,33.2661,6.89611,2.28337,32.4631,2.20257,0.319748,-13,1,21.6563,5.03821,1.04455,21.0359,2.11591,0.204429
199877,636036234,-13,1,38.6058,-29.7483,17.3094,17.4876,0.488445,2.61462,13,-1,24.432,22.3539,-5.37709,8.26452,0.352137,-0.236059,-13,1,14.6193,10.0761,-10.2583,-2.6367,-0.182357,-0.79436,13,-1,24.8201,6.79706,-10.0308,21.6612,1.34445,-0.975249
198230,985581345,13,-1,90.0051,75.4484,9.82503,-48.0823,-0.596029,0.129493,-13,1,46.3268,-25.4746,3.64805,-38.5214,-1.19303,2.99936,-11,1,20.7837,-2.65564,-16.4437,-12.4304,-0.690157,-1.73091,11,-1,11.2904,-4.91176,-6.70269,-7.64336,-0.823519,-2.2032
200600,399724685,13,-1,7.49621,0.969641,-6.49274,3.61747,0.526396,-1.42255,13,-1,9.0526,5.93614,1.3016,-6.70868,-0.952979,0.215851,-13,1,6.39252,-1.77192,-5.80151,2.01393,0.326184,-1.86722,-13,1,6.8686,4.80884,3.25764,-3.66461,-0.595157,0.595416
199319,1009103136,13,-1,192.489,33.5139,8.76497,189.347,2.39995,0.255803,-13,1,25.7286,-16.3959,-4.8172,19.2332,0.967378,-2.85583,13,-1,17.2872,-12.0204,-2.89838,12.0809,0.865039,-2.90499,-13,1,8.26211,-5.4096,-1.24073,6.11949,0.952094,-2.91613
202504,350555096,13,-1,147.091,25.2793,-55.9511,-133.665,-1.52013,-1.14644,-13,1,235.345,42.2768,24.9331,-230.171,-2.24967,0.532854,11,-1,138.937,-55.7746,10.2341,-126.839,-1.54478,2.96012,-11,1,32.8163,-15.5464,22.5318,18.098,0.620524,2.17476
196364,244631329,-13,1,55.9359,15.3024,-8.97504,53.0481,1.81537,-0.530443,13,-1,32.7515,-9.81141,14.5429,27.6566,1.23646,2.16431,13,-1,28.8023,8.02289,-4.53599,27.2877,1.80597,-0.514575,-13,1,21.6283,1.04163,8.86081,19.7022,1.53309,1.45378
195915,426559109,-13,1,61.1784,-46.6002,34.2156,20.0123,0.339593,2.50826,13,-1,116.673,17.8419,46.5644,105.48,1.49403,1.20489,11,-1,316.795,61.5443,-28.6834,309.433,2.22168,-0.436131,-11,1,58.6805,-7.36524,-37.3611,44.6464,0.998205,-1.76544
195147,475737463,13,-1,588.195,-50.3122,125.176,-572.515,-2.15219,1.95297,13,-1,438.738,118.773,19.9647,-421.883,-1.96651,0.166535,-13,1,54.8077,3.41894,-14.3097,-52.796,-1.98976,-1.33627,-11,1,441.749,-103.623,-145.264,-404.107,-1.55612,-2.19042
194076,651520176,-13,1,64.9789,-56.0132,9.17763,31.6314,0.531853,2.97919,13,-1,28.1848,19.6181,13.8626,14.7422,0.580541,0.615157,-11,1,51.5176,-2.12939,-18.165,-48.1618,-1.69564,-1.68749,11,-1,14.5632,10.1006,7.14055,7.68617,0.587062,0.615369
196199,88502442,-13,1,65.2719,-7.14879,64.07,-10.2149,-0.157794,1.68191,-13,1,109.025,25.3978,-47.2509,-94.9149,-1.33545,-1.07759,13,-1,49.8052,-22.4141,18.1424,40.608,1.14275,2.46113,13,-1,33.3659,0.718642,-26.9102,19.7128,0.678908,-1.5441
194897,146471772,-13,1,54.6098,9.23476,-53.8136,-1.01801,-0.0186436,-1.40085,-13,1,57.7729,-22.6462,44.9165,-28.4139,-0.53846,2.03778,13,-1,41.7217,-6.93615,24.7655,-32.8519,-1.06458,1.84387,13,-1,120.885,24.5241,5.44477,-118.246,-2.2533,0.218474
196452,590239269,13,-1,71.6152,-35.5898,-27.4244,55.7673,1.04208,-2.48506,-13,1,29.2214,24.8479,13.5608,7.25026,0.253405,0.499575,-13,1,22.8908,2.75241,10.6842,20.0562,1.35907,1.31866,13,-1,13.5019,4.03809,9.29222,8.92407,0.794532,1.16085
196452,375286109,-13,1,21.4592,12.7896,-6.15743,16.0934,0.972872,-0.44869,13,-1,16.0822,10.2805,-3.23605,11.9358,0.955345,-0.304956,-13,1,14.0114,-2.8663,5.43033,12.5938,1.46621,2.05646,11,-1,29.9329,13.8515,-1.48448,26.4935,1.39883,-0.106763
