Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
163659,60370358,13,-1,65.8569,-16.218,-63.7091,3.90372,0.0593454,-1.82007,13,-1,5.78628,-1.21474,-5.52697,1.20285,0.21099,-1.78714,-13,1,7.79015,-0.831193,-5.15933,5.77631,0.95393,-1.73053,-11,1,80.4024,26.6246,69.57,30.2603,0.395813,1.20529
172992,1153485608,13,-1,30.045,25.2616,-11.3364,11.663,0.409664,-0.421824,-13,1,47.0828,-14.3106,16.626,-41.6601,-1.39758,2.28149,13,-1,10.0443,-2.82738,9.43,1.9892,0.200707,1.8621,-13,1,9.47518,2.45958,-6.59972,6.33736,0.808712,-1.21406
166380,604921759,13,-1,53.9402,-4.01042,15.9635,-51.3675,-1.85598,1.81693,-13,1,36.837,-1.43919,10.6582,-35.2318,-1.90225,1.70502,13,-1,21.2532,-3.84875,-3.75304,-20.5618,-2.05136,-2.36878,11,-1,39.4656,-7.60151,-8.97143,-37.6731,-1.881,-2.27372
172868,-2144117388,-13,1,45.7145,-21.5756,37.4033,15.0099,0.340966,2.09401,13,-1,28.3193,17.0776,-22.4742,2.2892,0.0810126,-0.921005,11,-1,8.51609,5.9454,-5.83649,-1.76393,-0.21017,-0.776154,-11,1,7.94553,5.626,-5.36437,-1.64414,-0.209958,-0.761597
173657,34442568,13,-1,35.9978,32.7631,-4.41922,-14.2436,-0.418519,-0.134075,-13,1,29.0804,-19.3105,-5.31425,21.0837,0.918146,-2.87304,13,-1,17.3154,-10.8701,-3.64596,12.9753,0.971505,-2.81797,-13,1,11.4939,-1.20978,11.3565,1.29029,0.112739,1.67692
172401,3729470,-13,1,48.5643,-40.5716,-22.7848,-13.9024,-0.294497,-2.62989,13,-1,79.4437,30.9827,-0.575343,-73.1508,-1.59418,-0.0185677,-11,1,79.8732,45.8974,11.8758,-64.2816,-1.11208,0.253193,11,-1,40.0327,-36.8614,-10.6502,-11.4204,-0.293418,-2.86033
171578,250857964,-13,1,32.9345,-22.98,8.35448,-22.0634,-0.810599,2.79289,-13,1,27.4751,22.6404,-3.55726,15.1534,0.620588,-0.155845,13,-1,9.02965,-6.24258,2.28633,-6.10953,-0.822916,2.79052,13,-1,29.4841,0.181448,6.62993,-28.7283,-2.17213,1.54344
172802,375002589,-13,1,25.2633,-8.72442,17.1644,16.3552,0.770799,2.04105,13,-1,18.2126,-5.68963,12.7354,11.7101,0.763228,1.99095,11,-1,49.588,33.1954,-31.7291,-18.7162,-0.397065,-0.762818,-11,1,22.4142,-8.20998,14.1233,15.3467,0.837888,2.09736
170842,134699321,13,-1,13.3493,-12.5272,4.3439,1.54634,0.116363,2.80781,-13,1,8.49333,-5.13211,6.75601,-0.378472,-0.0445941,2.22044,11,-1,66.8442,1.24985,54.3716,-38.8627,-0.664563,1.54781,-11,1,66.7257,0.0976289,-41.3545,-52.3652,-1.0577,-1.56844
172822,84951748,-13,1,182.512,12.2647,60.379,171.798,1.74931,1.37039,13,-1,290.409,-31.5602,-46.6307,284.898,2.32409,-2.16579,-11,1,107.115,4.52764,25.2425,-103.999,-2.10803,1.39332,-11,1,36.5012,-7.93039,-21.0765,-28.7268,-1.06352,-1.93068
